site	species	year	date	individual	period	subindividual	flower	pollinaria_removed	pollen_on_stigma	herbivory	recorder	writer	notes	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	30	NA	NA	2	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	30	NA	NA	3	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	30	NA	NA	4	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	30	NA	NA	5	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	31	NA	NA	1	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	31	NA	NA	2	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	31	NA	NA	3	0	1	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	31	NA	NA	4	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	31	NA	NA	5	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	32	NA	NA	1	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	32	NA	NA	2	2	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	32	NA	NA	3	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	32	NA	NA	4	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	32	NA	NA	5	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	33	NA	NA	1	2	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	33	NA	NA	2	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	33	NA	NA	3	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	33	NA	NA	4	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	33	NA	NA	5	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	34	NA	NA	1	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	34	NA	NA	2	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	34	NA	NA	3	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	34	NA	NA	4	0	1	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	34	NA	NA	5	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	35	NA	NA	1	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	35	NA	NA	2	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	35	NA	NA	3	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	35	NA	NA	4	2	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	35	NA	NA	5	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	36	NA	NA	1	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	36	NA	NA	2	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	36	NA	NA	3	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	36	NA	NA	4	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	36	NA	NA	5	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	37	NA	NA	1	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	37	NA	NA	2	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	37	NA	NA	3	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	37	NA	NA	4	2	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	37	NA	NA	5	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	38	NA	NA	1	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	38	NA	NA	2	2	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	38	NA	NA	3	2	1	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	38	NA	NA	4	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	38	NA	NA	5	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	39	NA	NA	1	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	39	NA	NA	2	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	39	NA	NA	3	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	39	NA	NA	4	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	39	NA	NA	5	0	0	NA	MH	PJ	plant_partly_eaten_by_slugs	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	40	NA	NA	1	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	40	NA	NA	2	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	40	NA	NA	3	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	40	NA	NA	4	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	40	NA	NA	5	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	41	NA	NA	1	2	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	41	NA	NA	2	0	1	NA	MH	PJ	NA	
